city_id,country,latitude,longitude,name,nr_hotels,timezone_name,timezone_offset
3881514,pk,33.3194007873535,73.2596969604492,Kary,0,Asia/Karachi,5
3881466,pk,34.0208015441895,71.5916976928711,Sarāj Malik Wazīr,0,Asia/Karachi,5
3881464,pk,34.0203018188477,71.5761032104492,Shāhi Bāgh,0,Asia/Karachi,5
3878582,pk,25.2693996429443,63.4305992126465,Degān,0,Asia/Karachi,5
3877672,at,47.6833000183105,14.3667001724243,Oberweng,0,Europe/Vienna,1
3877671,at,47.6833000183105,14.3832998275757,Goslitz,0,Europe/Vienna,1
3877013,ir,35.7999992370605,51.36669921875,Malanjak,0,Asia/Tehran,4
3875419,ve,11.1167001724243,-63.9166984558105,Pedro Gonzalez,1,America/Caracas,-4
3875398,ve,11.0193996429443,-63.8471984863281,Los Cerritos,0,America/Caracas,-4
3875392,ve,10.9939002990723,-63.8889007568359,Las Piedras,0,America/Caracas,-4
3875389,ve,11.0249996185303,-63.8456001281738,Las Huertas,0,America/Caracas,-4
3875377,ve,11.1061000823975,-63.8527984619141,Loma de Guerra,2,America/Caracas,-4
3875376,ve,11.1443996429443,-63.86669921875,La Loma,1,America/Caracas,-4
3875374,ve,10.99784,-64.01918,La Guardia,0,America/Caracas,-4
3875365,ve,11.02894,-63.86577,La Asunción,0,America/Caracas,-4
3875349,ve,11.0743999481201,-63.8283004760742,Flandes,0,America/Caracas,-4
3875339,ve,10.9632997512817,-63.875,El Piache,0,America/Caracas,-4
3875337,ve,11.0666999816895,-63.9832992553711,El Palito,0,America/Caracas,-4
3875330,ve,11.0349998474121,-63.815601348877,El Hato,0,America/Caracas,-4
3875323,ve,11.1079,-63.84663,El Cardón,0,America/Caracas,-4
3875318,ve,11.14244556427,-63.8681602478027,El Agua,1,America/Caracas,-4
3875311,ve,10.9539003372192,-63.86669921875,Cerro Colorado,0,America/Caracas,-4
3875298,ve,10.8999996185303,-64.3572006225586,Boca Chica,0,America/Caracas,-4
3875289,ve,11.125,-63.8582992553711,Aricagua,1,America/Caracas,-4
3875285,ve,11.0132999420166,-63.9667015075684,Agua de Vaca,0,America/Caracas,-4
3875246,ve,10.4750003814697,-67.2750015258789,El Tigre,0,America/Caracas,-4
3875194,ve,10.497200012207,-66.875,Sabana Grande,0,America/Caracas,-4
3875175,ve,10.4833002090454,-66.9083023071289,Prado de María,0,America/Caracas,-4
3875128,ve,10.4917001724243,-66.9332962036133,El Paraíso,0,America/Caracas,-4
3874940,ve,10.5417003631592,-66.9250030517578,Conejo Blanco,0,America/Caracas,-4
3874918,ve,10.5478000640869,-67.2399978637695,Chichiriviche,0,America/Caracas,-4
3874646,ve,10.4121999740601,-67.9083023071289,Barrio La Primavera,0,America/Caracas,-4
3873021,at,48.2667007446289,16.0666999816895,Reichersberg,0,Europe/Vienna,1
3873001,at,48.25,15.8832998275757,Holzleiten,1,Europe/Vienna,1
3872888,pk,34.6053009033203,71.9542007446289,Mānriāno Bānda,0,Asia/Karachi,5
3872474,pk,34.8244018554688,71.8394012451172,Sarai,0,Asia/Karachi,5
3870755,pk,34.8717002868652,71.676399230957,Bārikāo,0,Asia/Karachi,5
3870534,mx,26.7000007629395,-109.550003051758,Santa Bárbara,0,America/Hermosillo,-7
3870348,mx,27.9666996002197,-110.983001708984,El Pilar,0,America/Hermosillo,-7
3870345,mx,27.9588153419506,-111.039803743362,San Carlos,44,America/Hermosillo,-7
